diagnosis_id,icd9_code,disease_name,short_name,disease_group
1,?,Unkown,Unknown,Unkown
2,10,Cholera due to vibrio cholerae,Cholera d/t vib cholerae,Infectious & Parasitic Diseases
3,11,Cholera due to vibrio cholerae el tor,Cholera d/t vib el tor,Infectious & Parasitic Diseases
4,110,Dermatophytosis,Dermatophytosis,Infectious & Parasitic Diseases
5,112,Candidiasis ,Candidiasis site NOS,Infectious & Parasitic Diseases
6,114,Primary coccidioidomycosis (pulmonary),Primary coccidioidomycos,Infectious & Parasitic Diseases
7,115,Histoplasmosis,Histoplasmosis,Infectious & Parasitic Diseases
8,117,Other and unspecified mycoses,Mycoses NEC & NOS,Infectious & Parasitic Diseases
9,131,Trichomoniasis unspecified,Trichomoniasis NOS,Infectious & Parasitic Diseases
10,133,Acariasis unspecified,Acariasis NOS,Infectious & Parasitic Diseases
11,135,Sarcoidosis,Sarcoidosis,Infectious & Parasitic Diseases
12,136,Other specified infectious and parasitic diseases,Infect/parasite dis NEC,Infectious & Parasitic Diseases
13,141,Malignant neoplasm of base of tongue,Mal neo tongue base,Neoplasms
14,142,Malignant neoplasm of other major salivary glands,Mal neo maj salivary NEC,Neoplasms
15,143,Malignant neoplasm of gum unspecified,Malig neo gum NOS,Neoplasms
16,145,Malignant neoplasm of other specified parts of mouth,Malig neoplasm mouth NEC,Neoplasms
17,146,Malignant neoplasm of junctional region of oropharynx,Mal neo epiglottis junct,Neoplasms
18,147,Malignant neoplasm of nasopharynx unspecified site,Mal neo nasopharynx NOS,Neoplasms
19,148,Malignant neoplasm of hypopharynx,Mal neo hypopharynx NOS,Neoplasms
20,149,Malignant neoplasm of ill-defined sites within the lip and oral cavity,Mal neo orophryn ill-def,Neoplasms
21,150,Malignant neoplasm of abdominal esophagus,Mal neo abdomin esophag,Neoplasms
22,151,Malignant neoplasm of stomach unspecified site,Malig neopl stomach NOS,Neoplasms
23,152,Malignant neoplasm of other specified sites of small intestine,Mal neo small bowel NEC,Neoplasms
24,153,Malignant neoplasm of colon unspecified site,Malignant neo colon NOS,Neoplasms
25,154,Malignant neoplasm of other sites of rectum rectosigmoid junction and anus,Mal neo rectum/anus NEC,Neoplasms
26,155,Malignant neoplasm of liver not specified as primary or secondary,Malignant neo liver NOS,Neoplasms
27,156,Malignant neoplasm of biliary tract part unspecified site,Malig neo biliary NOS,Neoplasms
28,157,Malignant neoplasm of pancreas part unspecified,Malig neo pancreas NOS,Neoplasms
29,158,Malignant neoplasm of peritoneum unspecified,Mal neo peritoneum NOS,Neoplasms
30,160,Malignant neoplasm of accessory sinus unspecified,Mal neo access sinus NOS,Neoplasms
31,161,Malignant neoplasm of larynx unspecified,Malignant neo larynx NOS,Neoplasms
32,162,Malignant neoplasm of bronchus and lung unspecified,Mal neo bronch/lung NOS,Neoplasms
33,163,Malignant neoplasm of pleura unspecified,Malig neopl pleura NOS,Neoplasms
34,164,Malignant neoplasm of mediastinum part unspecified,Mal neo mediastinum NOS,Neoplasms
35,170,Malignant neoplasm of bones of skull and face except mandible,Mal neo skull/face bone,Neoplasms
36,171,Malignant neoplasm of connective and other soft tissue site unspecified,Mal neo soft tissue NOS,Neoplasms
37,172,Melanoma of skin site unspecified,Malig melanoma skin NOS,Neoplasms
38,173,Other specified malignant neoplasm of skin site unspecified,Oth mal neo skn site NOS,Neoplasms
39,174,Malignant neoplasm of breast (female) unspecified,Malign neopl breast NOS,Neoplasms
40,175,Malignant neoplasm of other and unspecified sites of male breast,Mal neo male breast NEC,Neoplasms
41,179,Malignant neoplasm of uterus part unspecified,Malig neopl uterus NOS,Neoplasms
42,180,Malignant neoplasm of cervix uteri unspecified site,Mal neo cervix uteri NOS,Neoplasms
43,182,Malignant neoplasm of other specified sites of body of uterus,Mal neo body uterus NEC,Neoplasms
44,183,Malignant neoplasm of ovary,Malign neopl ovary,Neoplasms
45,184,Malignant neoplasm of female genital organ site unspecified,Mal neo female genit NOS,Neoplasms
46,185,Malignant neoplasm of prostate,Malign neopl prostate,Neoplasms
47,187,Malignant neoplasm of male genital organ site unspecified,Mal neo male genital NOS,Neoplasms
48,188,Malignant neoplasm of bladder part unspecified,Malig neo bladder NOS,Neoplasms
49,189,Malignant neoplasm of kidney except pelvis,Malig neopl kidney,Neoplasms
50,191,Malignant neoplasm of brain unspecified,Malig neo brain NOS,Neoplasms
51,192,Malignant neoplasm of nervous system part unspecified,Mal neo nervous syst NOS,Neoplasms
52,193,Malignant neoplasm of thyroid gland,Malign neopl thyroid,Neoplasms
53,194,Malignant neoplasm of other endocrine glands and related structures,Mal neo endocrine NEC,Neoplasms
54,195,Malignant neoplasm of other specified sites,Malig neo site NEC,Neoplasms
55,196,Secondary and unspecified malignant neoplasm of lymph nodes site unspecified,Mal neo lymph node NOS,Neoplasms
56,197,Secondary malignant neoplasm of other digestive organs and spleen,Sec mal neo GI NEC,Neoplasms
57,198,Secondary malignant neoplasm of other specified sites,Secondary malig neo NEC,Neoplasms
58,199,Other malignant neoplasm without specification of site,Malignant neoplasm NOS,Neoplasms
59,200,Other named variants of lymphosarcoma and reticulosarcoma lymph nodes of multiple sites,Mixed lymphosarc mult,Neoplasms
60,201,Hodgkin's disease unspecified type lymph nodes of multiple sites,Hodgkins dis NOS mult,Neoplasms
61,202,Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue lymph nodes of multiple sites,Lymphoid mal NEC mult,Neoplasms
62,203,Multiple myeloma without mention of having achieved remission,Mult mye w/o achv rmson,Neoplasms
63,204,Secondary pneumonic plague,Secondary pneumon plague,Neoplasms
64,205,Other lymphoid leukemia without mention of having achieved remission,Oth lym leu wo achv rmsn,Neoplasms
65,207,Other specified leukemia in remission,Oth spf leuk w remsion,Neoplasms
66,208,Unspecified leukemia without mention of having achieved remission,Leuk NOS w/o achv rmsn,Neoplasms
67,210,Benign neoplasm of lip,Benign neoplasm lip,Neoplasms
68,211,Benign neoplasm of other and unspecified site in the digestive system,Ben neo GI tract NEC/NOS,Neoplasms
69,212,Benign neoplasm of respiratory and intrathoracic organs site unspecified,Benign neo resp sys NOS,Neoplasms
70,214,Lipoma of skin and subcutaneous tissue of face,Lipoma skin face,Neoplasms
71,215,Other benign neoplasm of connective and other soft tissue site unspecified,Ben neo soft tissue NOS,Neoplasms
72,216,Benign neoplasm of skin site unspecified,Benign neoplasm skin NOS,Neoplasms
73,217,Benign neoplasm of breast,Benign neoplasm breast,Neoplasms
74,218,Leiomyoma of uterus unspecified,Uterine leiomyoma NOS,Neoplasms
75,219,Benign neoplasm of uterus part unspecified,Benign neo uterus NOS,Neoplasms
76,220,Benign neoplasm of ovary,Benign neoplasm ovary,Neoplasms
77,223,Benign neoplasm of urinary organ site unspecified,Benign neo urinary NOS,Neoplasms
78,225,Benign neoplasm of nervous system part unspecified,Benign neo nerv sys NOS,Neoplasms
79,226,Benign neoplasm of thyroid glands,Benign neoplasm thyroid,Neoplasms
80,227,Benign neoplasm of endocrine gland site unspecified,Benign neo endocrine NOS,Neoplasms
81,228,Lymphangioma any site,Lymphangioma any site,Neoplasms
82,229,Benign neoplasm of unspecified site,Benign neoplasm NOS,Neoplasms
